id,param
36,"{""X"": [[68.59152777777777, 39.547361111111115], [68.58736111111111, 39.547361111111115], [68.58736111111111, 39.55152777777778], [68.59152777777777, 39.55152777777778]], ""w"": [2451464.7027703393, -2451464.702767799, 2451464.7027722048, -2451464.702774745], ""a"": [2268623.976695558, -24604.83398430439, -14618.408203010857]}"
37,"{""X"": [[68.59569444444443, 39.547361111111115], [68.59152777777777, 39.547361111111115], [68.59152777777777, 39.55152777777778], [68.59569444444443, 39.55152777777778]], ""w"": [-2057694.4125427525, 2057694.412544669, -2057694.4125413448, 2057694.4125394286], ""a"": [1177751.2362657299, -7388.378906216624, -16894.804687420612]}"
38,"{""X"": [[68.59986111111111, 39.547361111111115], [68.59569444444443, 39.547361111111115], [68.59569444444443, 39.55152777777778], [68.59986111111111, 39.55152777777778]], ""w"": [1711875.3004316678, -1711875.3004278948, 1711875.3004293751, -1711875.300433148], ""a"": [-1360059.2656743017, 28455.615234266934, -14895.615234278466]}"
39,"{""X"": [[68.60402777777777, 39.547361111111115], [68.59986111111111, 39.547361111111115], [68.59986111111111, 39.55152777777778], [68.60402777777777, 39.55152777777778]], ""w"": [595117.6010731488, -595117.6010739184, 595117.6010725833, -595117.6010718137], ""a"": [-899274.6039647089, 29427.597656194102, -28232.402343821057]}"
40,"{""X"": [[68.60819444444444, 39.547361111111115], [68.60402777777777, 39.547361111111115], [68.60402777777777, 39.55152777777778], [68.60819444444444, 39.55152777777778]], ""w"": [746648.7968465291, -746648.796848199, 746648.7968453021, -746648.7968436324], ""a"": [-892981.6148971134, 33807.56835927212, -35989.1894531405]}"
41,"{""X"": [[68.61236111111111, 39.547361111111115], [68.60819444444444, 39.547361111111115], [68.60819444444444, 39.55152777777778], [68.61236111111111, 39.55152777777778]], ""w"": [-3488516.618118199, 3488516.6181220207, -3488516.61811539, 3488516.618111569], ""a"": [-457409.4848909458, 18321.621093986727, -20138.378906166952]}"
42,"{""X"": [[68.61652777777778, 39.547361111111115], [68.61236111111111, 39.547361111111115], [68.61236111111111, 39.55152777777778], [68.61652777777778, 39.55152777777778]], ""w"": [-2661325.8562318035, 2661325.8562316876, -2661325.856231889, 2661325.8562320047], ""a"": [2064628.0510362256, -38929.21874997879, 15414.023437600792]}"
43,"{""X"": [[68.62069444444444, 39.547361111111115], [68.61652777777778, 39.547361111111115], [68.61652777777778, 39.55152777777778], [68.62069444444444, 39.55152777777778]], ""w"": [867874.7670665679, -867874.76706758, 867874.7670658239, -867874.7670648119], ""a"": [1604022.0911015035, -38192.402343637164, 25782.011718646256]}"
44,"{""X"": [[68.6248611111111, 39.547361111111115], [68.62069444444444, 39.547361111111115], [68.62069444444444, 39.55152777777778], [68.6248611111111, 39.55152777777778]], ""w"": [3454471.383045168, -3454471.3830351685, 3454471.383042298, -3454471.3830522974], ""a"": [1496832.1269262384, -22228.769530916896, 794.414062807607]}"
45,"{""X"": [[68.62902777777778, 39.547361111111115], [68.6248611111111, 39.547361111111115], [68.6248611111111, 39.55152777777778], [68.62902777777778, 39.55152777777778]], ""w"": [-1560967.4395115133, 1560967.4395084677, -1560967.4395137525, 1560967.4395167977], ""a"": [3385046.060989054, -43435.22460944317, -10151.982421928522]}"
46,"{""X"": [[68.63319444444444, 39.547361111111115], [68.62902777777778, 39.547361111111115], [68.62902777777778, 39.55152777777778], [68.63319444444444, 39.55152777777778]], ""w"": [1198541.2664656062, -1198541.2664635493, 1198541.266467118, -1198541.2664691743], ""a"": [-2584378.7785240537, 42338.4082032257, -8056.787109439505]}"
47,"{""X"": [[68.6373611111111, 39.547361111111115], [68.63319444444444, 39.547361111111115], [68.63319444444444, 39.55152777777778], [68.6373611111111, 39.55152777777778]], ""w"": [-210894.9771887569, 210894.97718551493, -210894.97719114105, 210894.9771943827], ""a"": [-3053847.9692887184, 52468.79882781185, -13766.396484305269]}"
48,"{""X"": [[68.64152777777777, 39.547361111111115], [68.6373611111111, 39.547361111111115], [68.6373611111111, 39.55152777777778], [68.64152777777777, 39.55152777777778]], ""w"": [1529212.833534819, -1529212.8335308724, 1529212.833533196, -1529212.8335371425], ""a"": [-1795930.6940059757, 38533.212890587376, -21387.62695286333]}"
49,"{""X"": [[68.64569444444444, 39.547361111111115], [68.64152777777777, 39.547361111111115], [68.64152777777777, 39.55152777777778], [68.64569444444444, 39.55152777777778]], ""w"": [3368740.0282572666, -3368740.0282593905, 3368740.0282557057, -3368740.0282535823], ""a"": [1938011.4764447454, 449.97070295921253, -49702.82226575502]}"
50,"{""X"": [[68.64986111111111, 39.547361111111115], [68.64569444444444, 39.547361111111115], [68.64569444444444, 39.55152777777778], [68.64986111111111, 39.55152777777778]], ""w"": [-1469220.649439716, 1469220.6494409193, -1469220.6494388306, 1469220.6494376275], ""a"": [869706.0792868789, 22339.248046901692, -60683.994140727234]}"
